index,EDGE_ID,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,SOURCE_FRAME,TARGET_FRAME
68,68,0,3523,3532,0,1
43,43,0,3532,3503,1,2
27,27,0,3503,3519,2,3
44,44,0,3519,3507,3,4
71,71,0,3507,3528,4,5
72,72,0,3528,3515,5,6
18,18,0,3515,3511,6,7
63,63,0,3511,3547,7,8
12,12,0,3547,3536,8,9
26,26,0,3547,3537,8,9
36,36,0,3537,3549,9,10
56,56,0,3536,3552,9,10
13,13,0,3552,3567,10,11
53,53,0,3549,3566,10,11
11,11,0,3567,3557,11,12
50,50,0,3566,3556,11,12
7,7,0,3556,3542,12,13
55,55,0,3557,3543,12,13
59,59,0,3542,3561,13,14
66,66,0,3543,3562,13,14
6,6,0,3562,3579,14,15
9,9,0,3561,3578,14,15
19,19,0,3579,3573,15,16
40,40,0,3578,3571,15,16
67,67,0,3578,3572,15,16
20,20,0,3571,3589,16,17
23,23,0,3573,3591,16,17
32,32,0,3572,3590,16,17
38,38,0,3591,3615,17,18
42,42,0,3590,3614,17,18
60,60,0,3589,3613,17,18
1,1,0,3614,3596,18,19
14,14,0,3613,3595,18,19
48,48,0,3615,3597,18,19
57,57,0,3595,3583,19,20
61,61,0,3597,3585,19,20
70,70,0,3596,3584,19,20
51,51,0,3585,3632,20,21
54,54,0,3583,3630,20,21
58,58,0,3584,3631,20,21
17,17,0,3632,3603,21,22
28,28,0,3631,3602,21,22
65,65,0,3630,3601,21,22
4,4,0,3603,3678,22,23
33,33,0,3601,3676,22,23
49,49,0,3602,3677,22,23
25,25,0,3677,3608,23,24
37,37,0,3676,3607,23,24
62,62,0,3678,3609,23,24
15,15,0,3609,3626,24,25
21,21,0,3608,3625,24,25
45,45,0,3607,3624,24,25
10,10,0,3626,3638,25,26
29,29,0,3624,3636,25,26
47,47,0,3625,3637,25,26
16,16,0,3636,3619,26,27
24,24,0,3638,3620,26,27
64,64,0,3637,3620,26,27
8,8,0,3620,3665,27,28
69,69,0,3619,3664,27,28
39,39,0,3664,3646,28,29
41,41,0,3665,3647,28,29
34,34,0,3647,3642,29,30
22,22,0,3642,3651,30,31
35,35,0,3651,3656,31,32
5,5,0,3656,3683,32,33
31,31,0,3683,3660,33,34
2,2,0,3660,3691,34,35
30,30,0,3691,3669,35,36
3,3,0,3669,3673,36,37
52,52,0,3673,3687,37,38
0,0,0,3687,3709,38,39
46,46,0,3709,3704,39,40
73,73,0,3704,3700,40,41
81,81,1,3524,3533,0,1
88,88,1,3533,3504,1,2
78,78,1,3504,3520,2,3
109,109,1,3520,3508,3,4
82,82,1,3508,3529,4,5
90,90,1,3529,3516,5,6
96,96,1,3516,3512,6,7
86,86,1,3512,3548,7,8
106,106,1,3548,3539,8,9
98,98,1,3539,3553,9,10
122,122,1,3553,3568,10,11
95,95,1,3568,3558,11,12
79,79,1,3558,3544,12,13
116,116,1,3544,3563,13,14
119,119,1,3563,3580,14,15
99,99,1,3580,3574,15,16
92,92,1,3574,3592,16,17
89,89,1,3592,3616,17,18
112,112,1,3616,3598,18,19
91,91,1,3598,3586,19,20
110,110,1,3586,3633,20,21
83,83,1,3633,3604,21,22
115,115,1,3604,3679,22,23
118,118,1,3679,3610,23,24
101,101,1,3610,3627,24,25
114,114,1,3627,3639,25,26
76,76,1,3639,3621,26,27
100,100,1,3621,3666,27,28
75,75,1,3666,3648,28,29
121,121,1,3648,3643,29,30
74,74,1,3643,3652,30,31
77,77,1,3652,3657,31,32
94,94,1,3657,3684,32,33
