ID of track	time index	cell row	cell col	velocity (pixels moved between timepoints) (µm)	Angle of movement	Delta of Angle of movement	angle of movement relative to "center"	length of track (total number of timepoints track was found)	Consistency of motion	Cumulated distance travelled (µm)	Distance between start and endpoint (µm)
1	0	25.909091	553.909091	1.701620	109.234138		-41.449441	21	1.000000	16.272509	3.210642
1	1	25.040000	556.400000	0.779499	-122.840401	127.925462	-169.717680	21	0.551539	16.272509	3.210642
1	2	24.384615	555.384615	1.288851	17.936737	140.777138	49.463013	21	0.363488	16.272509	3.210642
1	3	26.285714	556.000000	2.228638	-136.005082	-153.941819	-156.296985	21	0.229202	16.272509	3.210642
1	4	23.800000	553.600000	1.760507	118.442925	-105.551992	-51.014796	21	0.332448	16.272509	3.210642
1	5	22.500000	556.000000	0.721132	-63.434947	178.122128	130.448557	21	0.236309	16.272509	3.210642
1	6	23.000000	555.000000	2.163396	63.434947	126.869894	3.744480	21	0.262201	16.272509	3.210642
1	7	24.500000	558.000000	0.546333	-87.397435	-150.832382	154.620044	21	0.203032	16.272509	3.210642
1	8	24.538462	557.153846	0.531180	24.855236	112.252672	42.438755	21	0.200558	16.272509	3.210642
1	9	25.285714	557.500000	0.436802	100.124669	75.269432	-32.721184	21	0.229280	16.272509	3.210642
1	10	25.166667	558.166667	0.310958	-110.224856	149.650475	177.556074	21	0.202377	16.272509	3.210642
1	11	25.000000	557.714286	0.492087	101.633631	-148.141512	-34.298362	21	0.232644	16.272509	3.210642
1	12	24.846154	558.461538	0.239802	65.556043	-36.077588	1.694311	21	0.243066	16.272509	3.210642
1	13	25.000000	558.800000	0.347343	158.198586	92.642543	-90.946057	21	0.251481	16.272509	3.210642
1	14	24.500000	559.000000	0.322500	0.000000	-158.198586	67.146044	21	0.240478	16.272509	3.210642
1	15	25.000000	559.000000	0.322500	0.000000	0.000000	67.237225	21	0.232099	16.272509	3.210642
1	16	25.500000	559.000000	0.721132	116.565048	116.565048	-49.236521	21	0.266332	16.272509	3.210642
1	17	25.000000	560.000000	0.184286	-89.999997	153.434955	157.160408	21	0.251016	16.272509	3.210642
1	18	25.000000	559.714286	0.905193	-100.261372	-10.261374	167.443780	21	0.184328	16.272509	3.210642
1	19	24.750000	558.333333	0.268750	89.999997	-169.738631	-22.757361	21	0.197305	16.272509	3.210642
1	20	24.750000	558.750000					21		16.272509	3.210642
2	0	233.500000	161.800000	0.554850	125.537674		-27.272690	22	1.000000	10.577416	1.717445
2	1	233.000000	162.500000	0.448990	118.610456	-6.927218	-20.379162	22	0.998194	10.577416	1.717445
2	2	232.666667	163.111111	0.258398	-146.309928	95.079615	-115.479515	22	0.815483	10.577416	1.717445
2	3	232.333333	162.888889	0.129199	33.690067	179.999995	64.489558	22	0.724087	10.577416	1.717445
2	4	232.500000	163.000000	1.122546	130.763602	97.073535	-32.568513	22	0.847259	10.577416	1.717445
2	5	231.363636	164.318182	0.802720	-75.907361	153.329037	174.022135	22	0.438319	10.577416	1.717445
2	6	231.666667	163.111111	0.787535	74.156916	150.064277	23.968948	22	0.456257	10.577416	1.717445
2	7	232.000000	164.285714	0.804603	-103.240517	-177.397433	-158.591104	22	0.288032	10.577416	1.717445
2	8	231.714286	163.071429	0.646643	-4.085617	99.154900	102.215035	22	0.166530	10.577416	1.717445
2	9	232.714286	163.000000	0.350870	113.198587	117.284204	-14.985357	22	0.215385	10.577416	1.717445
2	10	232.500000	163.500000	0.203967	-161.565047	85.236366	-100.233764	22	0.217616	10.577416	1.717445
2	11	232.200000	163.400000	0.580947	95.663704	-102.771250	2.510849	22	0.275366	10.577416	1.717445
2	12	232.111111	164.296296	0.149663	118.610456	22.946753	-20.432522	22	0.291218	10.577416	1.717445
2	13	232.000000	164.500000	0.240377	-116.565048	124.824496	-145.263963	22	0.263657	10.577416	1.717445
2	14	231.833333	164.166667	0.195981	-76.701428	39.863620	174.854218	22	0.231779	10.577416	1.717445
2	15	231.903226	163.870968	0.342663	-16.044266	60.657161	114.199391	22	0.187031	10.577416	1.717445
2	16	232.413793	163.724138	0.807474	117.623782	133.668048	-19.427161	22	0.264895	10.577416	1.717445
2	17	231.833333	164.833333	0.132107	-35.537677	-153.161458	133.698578	22	0.246987	10.577416	1.717445
2	18	232.000000	164.714286	1.105714	-89.999997	-54.462321	-171.826401	22	0.128192	10.577416	1.717445
2	19	232.000000	163.000000	0.456084	134.999996	-135.000006	-36.847246	22	0.167275	10.577416	1.717445
2	20	231.500000	163.500000	0.456084	44.999999	-89.999997	53.116445	22	0.162369	10.577416	1.717445
2	21	232.000000	164.000000					22		10.577416	1.717445
3	0	318.500000	327.000000	0.912168	134.999996		-25.013571	10	1.000000	8.909485	5.044259
3	1	317.500000	328.000000	0.642998	114.227742	-20.772254	-4.306002	10	0.984110	8.909485	5.044259
3	2	317.090909	328.909091	0.070472	33.690067	-80.537676	76.223562	10	0.940373	8.909485	5.044259
3	3	317.181818	328.969697	2.652843	-124.392566	-158.082632	-125.682305	10	0.589455	8.909485	5.044259
3	4	314.858586	325.575758	2.503786	173.725661	-61.881774	-64.160969	10	0.719569	8.909485	5.044259
3	5	311.000000	326.000000	0.322500	-89.999997	96.274342	-160.813448	10	0.694365	8.909485	5.044259
3	6	311.000000	325.500000	0.350870	23.198590	113.198587	85.970196	10	0.615712	8.909485	5.044259
3	7	311.500000	325.714286	1.040012	-125.854585	-149.053174	-124.917947	10	0.634457	8.909485	5.044259
3	8	310.555556	324.407407	0.413837	50.152080	176.006665	58.932657	10	0.566167	8.909485	5.044259
3	9	310.966667	324.900000					10		8.909485	5.044259
4	0	422.500000	562.000000	0.721132	116.565048		20.676122	48	1.000000	35.157760	3.701988
4	1	422.000000	563.000000	0.322500	89.999997	-26.565050	47.299500	48	0.977198	35.157760	3.701988
4	2	422.000000	563.500000	1.736716	68.198589	-21.801409	69.155250	48	0.935163	35.157760	3.701988
4	3	423.000000	566.000000	3.459563	-147.692661	144.108750	-74.580452	48	0.433059	35.157760	3.701988
4	4	418.466667	563.133333	1.200949	69.293886	-143.013453	67.663674	48	0.384315	35.157760	3.701988
4	5	419.125000	564.875000	0.798147	-44.999999	-114.293884	-177.785730	48	0.250638	35.157760	3.701988
4	6	420.000000	564.000000	0.350834	44.999999	89.999997	92.207169	48	0.239358	35.157760	3.701988
4	7	420.384615	564.384615	0.821114	-124.330214	-169.330212	-98.381867	48	0.214616	35.157760	3.701988
4	8	419.666667	563.333333	0.688336	38.659807	162.990021	98.441086	48	0.180640	35.157760	3.701988
4	9	420.500000	564.000000	0.000000	0.000000	-38.659807	137.257588	48	0.180640	35.157760	3.701988
4	10	420.500000	564.000000	0.243026	-155.224855	-155.224855	-67.517557	48	0.185831	35.157760	3.701988
4	11	420.157895	563.842105	0.858976	119.604447	-85.170697	17.601443	48	0.244302	35.157760	3.701988
4	12	419.500000	565.000000	0.322500	-89.999997	150.395555	-132.734115	48	0.218574	35.157760	3.701988
4	13	419.500000	564.500000	0.138214	89.999997	179.999995	47.211224	48	0.223756	35.157760	3.701988
4	14	419.500000	564.714286	0.207065	-20.854457	-110.854455	158.089095	48	0.203695	35.157760	3.701988
4	15	419.800000	564.600000	0.407934	-71.565049	-50.710592	-151.182488	48	0.168201	35.157760	3.701988
4	16	420.000000	564.000000	0.730090	96.340189	167.905238	40.866978	48	0.202380	35.157760	3.701988
4	17	419.875000	565.125000	0.547310	-81.528853	-177.869042	-141.153694	48	0.161193	35.157760	3.701988
4	18	420.000000	564.285714	0.829286	-89.999997	-8.471144	-132.761668	48	0.120742	35.157760	3.701988
4	19	420.000000	563.000000	0.798147	134.999996	-135.000006	2.098334	48	0.164029	35.157760	3.701988
4	20	419.125000	563.875000	0.509917	18.434948	-116.565048	118.670123	48	0.138822	35.157760	3.701988
4	21	419.875000	564.125000	0.342063	-98.130100	-116.565048	-124.661721	48	0.126253	35.157760	3.701988
4	22	419.800000	563.600000	0.354007	148.240516	-113.629385	-11.097127	48	0.145124	35.157760	3.701988
4	23	419.333333	563.888889	0.375409	88.069410	-60.171106	49.058267	48	0.153946	35.157760	3.701988
4	24	419.352941	564.470588	0.417784	2.602562	-85.466848	134.590572	48	0.132729	35.157760	3.701988
4	25	420.000000	564.500000	0.254959	71.565049	68.962487	65.696681	48	0.137949	35.157760	3.701988
4	26	420.125000	564.875000	0.114021	134.999996	63.434947	2.315330	48	0.143522	35.157760	3.701988
4	27	420.000000	565.000000	0.304056	134.999996	-0.000000	2.316393	48	0.158045	35.157760	3.701988
4	28	419.666667	565.333333	0.304056	-44.999999	-179.999995	-177.680773	48	0.138715	35.157760	3.701988
4	29	420.000000	565.000000	0.354587	-14.036243	30.963756	151.352632	48	0.121122	35.157760	3.701988
4	30	420.533333	564.866667	0.584863	143.972623	158.008866	-6.617055	48	0.146635	35.157760	3.701988
4	31	419.800000	565.400000	0.611901	-108.434946	107.592432	-114.225055	48	0.127797	35.157760	3.701988
4	32	419.500000	564.500000	0.456084	-134.999996	-26.565050	-87.788783	48	0.128937	35.157760	3.701988
4	33	419.000000	564.000000	0.493235	22.619864	157.619861	114.486174	48	0.112874	35.157760	3.701988
4	34	419.705882	564.294118	0.156354	170.690055	148.070191	-33.480505	48	0.118586	35.157760	3.701988
4	35	419.466667	564.333333	0.142500	111.801406	-58.888649	25.388243	48	0.123679	35.157760	3.701988
4	36	419.384615	564.538462	0.226455	-91.569352	156.629241	-131.226894	48	0.116143	35.157760	3.701988
4	37	419.375000	564.187500	0.290698	-56.309931	35.259421	-166.525609	48	0.102079	35.157760	3.701988
