ID of track	time index	cell row	cell col	velocity (pixels moved between timepoints) (µm)	Angle of movement	Delta of Angle of movement	angle of movement relative to "center"	length of track (total number of timepoints track was found)	Consistency of motion	Cumulated distance travelled (µm)	Distance between start and endpoint (µm)
1	0	2.187500	1170.187500	0.448107	89.051927		-179.159031	23	1.000000	48.507857	1.782668
1	1	2.210526	1171.578947	4.010778	-13.278908	-102.330835	-76.829194	23	0.883512	48.507857	1.782668
1	2	14.333333	1168.717949	4.156662	-71.169168	-57.890259	-19.533479	23	0.795858	48.507857	1.782668
1	3	18.500000	1156.500000	3.771624	34.382557	105.551725	-125.299011	23	0.699900	48.507857	1.782668
1	4	28.166667	1163.114583	2.437907	102.716911	68.334354	165.895854	23	0.528110	48.507857	1.782668
1	5	26.500000	1170.500000	1.970221	-86.390149	170.892940	-4.906798	23	0.486362	48.507857	1.782668
1	6	26.885246	1164.393443	1.456019	66.444730	152.834878	-157.767422	23	0.468517	48.507857	1.782668
1	7	28.692308	1168.538462	2.310372	150.878498	84.433768	117.714946	23	0.318223	48.507857	1.782668
1	8	22.424242	1172.030303	1.131837	31.795949	-119.082549	-122.892042	23	0.349056	48.507857	1.782668
1	9	25.411765	1173.882353	0.362288	3.123662	-28.672286	-94.363784	23	0.359665	48.507857	1.782668
1	10	26.535211	1173.943662	3.146480	-148.124657	-151.248320	56.829796	23	0.205843	48.507857	1.782668
1	11	18.237113	1168.783505	5.650155	-169.214910	-21.090253	78.320970	23	0.050468	48.507857	1.782668
1	12	1.000000	1165.500000	1.932000	-89.999997	79.214913	-0.049160	23	0.105616	48.507857	1.782668
1	13	1.000000	1159.500000	1.395749	13.639052	103.639049	-103.688463	23	0.095409	48.507857	1.782668
1	14	5.212389	1160.522124	1.667353	-137.141167	-150.780219	46.883832	23	0.118659	48.507857	1.782668
1	15	1.416667	1157.000000	2.521310	56.751834	-166.106999	-146.821986	23	0.063072	48.507857	1.782668
1	16	5.709677	1163.548387	1.873148	-142.412032	160.836134	52.130879	23	0.081979	48.507857	1.782668
1	17	1.100000	1160.000000	0.889378	72.439726	-145.148242	-162.494056	23	0.037968	48.507857	1.782668
1	19	2.766667	1165.266667	3.354454	-99.763715	-172.203441	9.627681	23	0.108105	48.507857	1.782668
1	20	1.000000	1155.000000	1.932000	89.999997	-170.236288	179.950398	23	0.063056	48.507857	1.782668
1	21	1.000000	1161.000000	1.200638	83.659806	-6.340192	-173.709154	23	0.036750	48.507857	1.782668
1	22	1.411765	1164.705882					23		48.507857	1.782668
2	0	78.603774	1274.867925	1.591991	164.770447		101.701370	36	1.000000	60.624294	32.320623
2	1	73.833333	1276.166667	1.313902	-17.102728	178.126825	-76.208457	36	0.097072	60.624294	32.320623
2	2	77.733333	1274.966667	1.052501	-43.557998	-26.455270	-49.930942	36	0.213415	60.624294	32.320623
2	3	80.102041	1272.714286	2.827185	131.073168	174.631166	135.325506	36	0.293202	60.624294	32.320623
2	4	74.333333	1279.333333	1.181886	-140.527536	88.399296	47.202211	36	0.299746	60.624294	32.320623
2	5	71.500000	1277.000000	0.575000	-73.739793	66.787743	-19.464883	36	0.249421	60.624294	32.320623
2	6	72.000000	1275.285714	0.233428	124.611139	-161.649068	142.157493	36	0.260087	60.624294	32.320623
2	7	71.588235	1275.882353	1.488691	-17.397512	-142.008651	-75.813916	36	0.082492	60.624294	32.320623
2	8	76.000000	1274.500000	0.360007	26.565050	43.962563	-119.977624	36	0.048770	60.624294	32.320623
2	9	77.000000	1275.000000	0.484674	-48.366459	-74.931510	-45.089556	36	0.033683	60.624294	32.320623
2	10	78.000000	1273.875000	2.263227	62.290073	110.656533	-155.793945	36	0.141329	60.624294	32.320623
2	11	81.268293	1280.097561	0.720462	-30.785233	-93.075306	-62.847370	36	0.140328	60.624294	32.320623
