ImageNumber,ObjectNumber,TrackObjects_Label_15,TrackObjects_ParentImageNumber_15,TrackObjects_ParentObjectNumber_15,TrackObjects_TrajectoryX_15,TrackObjects_TrajectoryY_15
1,1,1,0,0,0,0
1,2,2,0,0,0,0
1,3,3,0,0,0,0
1,4,4,0,0,0,0
2,1,1,1,1,0,2.25
2,2,2,1,2,-1,1
2,3,3,1,3,-0.314285714,0.342857143
2,4,4,1,4,1.162790698,-0.051495017
3,1,1,2,1,0,4
3,2,2,2,2,1,-1
3,3,3,2,3,0.314285714,-0.342857143
3,4,4,2,4,-1.162790698,0.051495017
4,1,1,3,1,0,3
4,2,2,3,2,0,1
4,3,3,3,3,0,0
4,4,4,3,4,0,0
5,1,1,4,1,-1,4
5,2,3,4,3,0,-0.09375
5,3,4,4,4,0,-0.107902736
6,1,1,5,1,-3,2
6,2,5,0,0,0,0
6,3,3,5,2,-0.314285714,0.436607143
6,4,4,5,3,1.162790698,0.056407719
7,1,1,6,1,0,1
7,2,5,6,2,0,0
7,3,3,6,3,0,0
7,4,4,6,4,0,0
8,1,1,7,1,-2,1
8,2,5,7,2,-1,-1
8,3,3,7,3,0.314285714,-0.342857143
8,4,4,7,4,-1.162790698,0.051495017
9,1,1,8,1,-1,1
9,2,5,8,2,1,0
9,3,3,8,3,0,0
9,4,4,8,4,0,0
10,1,1,9,1,-3.75,3
10,2,1,9,1,4,3
10,3,5,9,2,0,1
10,4,4,9,4,0,-2.714285714
11,1,1,10,1,-4.25,3
11,2,1,10,2,1,4
11,3,4,10,4,0,0
12,1,1,11,1,0,1
12,2,1,11,2,1,5
12,3,6,0,0,0,0
12,4,4,11,3,0,-2.5
12,5,4,11,3,0,2.714285714
13,1,1,12,1,-3,4
13,2,1,12,2,0,3
13,3,6,12,3,0,0
13,4,4,12,4,0,0
13,5,4,12,5,0,0
14,1,1,13,1,-4,2
14,2,1,13,2,-1,1
14,3,6,13,3,1,0
14,4,4,13,4,-0.314285714,0.342857143
14,5,4,13,5,1.195121951,0.054006969
15,1,1,14,1,-2,3
15,2,1,14,2,0,3
15,3,6,14,3,0,0
15,4,4,14,4,0.314285714,-0.342857143
15,5,4,14,5,-1.195121951,-0.054006969
16,1,1,15,1,-3,3
16,2,1,15,2,3,6
16,3,6,15,3,0,-1
16,4,4,15,4,0,0
16,5,4,15,5,0,0
17,1,1,16,1,-4,4
17,2,7,0,0,0,0
17,3,1,16,2,-2,4
17,4,6,16,3,-1,1
17,5,4,16,4,-0.076923077,0.564102564
17,6,4,16,5,1.048780488,1.078397213
18,1,1,17,1,-5,1
18,2,7,17,2,-1,5
18,3,1,17,3,1,4
18,4,6,17,4,1,-1
18,5,4,17,5,-0.237362637,-0.221245421
18,6,4,17,6,0.146341463,-1.024390244
19,1,1,18,1,-4,3
19,2,7,18,2,0,2
19,3,1,18,3,-3,3
19,4,6,18,4,0,0
19,5,4,18,5,0.314285714,-0.342857143
19,6,4,18,6,-1.195121951,-0.054006969
20,1,8,0,0,0,0
20,2,7,19,2,1,2
20,3,1,19,3,-1,4
20,4,6,19,4,-1,0
20,5,4,19,5,0,0
20,6,4,19,6,0,0
21,1,8,20,1,-5,-2
21,2,7,20,2,-1,3
21,3,1,20,3,-1,5
21,4,6,20,4,1,0
21,5,4,20,5,0,0
21,6,4,20,6,0,0
22,1,8,21,1,-3,-5
22,2,7,21,2,0,4
22,3,1,21,3,0,6
22,4,6,21,4,-1,1
22,5,4,21,5,-0.076923077,0.564102564
22,6,4,21,6,1.048780488,1.078397213
23,1,8,22,1,1,-3
23,2,7,22,2,0,4
23,3,1,22,3,0,4
23,4,6,22,4,0,-1
23,5,4,22,5,0.076923077,-0.564102564
23,6,4,22,6,-1.048780488,-1.078397213
24,1,8,23,1,-1,-4
24,2,7,23,2,0,5
24,3,1,23,3,1,1
24,4,6,23,4,0,0
24,5,4,23,5,0,0
24,6,4,23,6,0,0
25,1,8,24,1,1,-5
25,2,7,24,2,1,4
25,3,1,24,3,-1,2
25,4,4,24,5,0,0
25,5,4,24,6,0,0
26,1,8,25,1,-1,-5
26,2,7,25,2,2,3
26,3,1,25,3,0,-1
26,4,9,0,0,0,0
26,5,4,25,4,0,0
26,6,4,25,5,0,0
27,1,8,26,1,1,-6
27,2,7,26,2,5.065217391,3.065217391
27,3,1,26,3,-3.625,4
27,4,9,26,4,0,0
27,5,4,26,5,0,0
27,6,4,26,6,0,0
28,1,8,27,1,4,-3
28,2,1,27,3,-3.375,4
28,3,9,27,4,-1,1
28,4,4,27,5,0,0
28,5,4,27,6,0,0
29,1,8,28,1,5,-2
29,2,1,28,2,0,5
29,3,9,28,3,1,0
29,4,4,28,4,-0.314285714,0.342857143
29,5,4,28,5,1.195121951,0.054006969
30,1,8,29,1,4,-2
30,2,1,29,2,-1,1
30,3,9,29,3,-1,0
30,4,4,29,4,0.314285714,-0.342857143
30,5,4,29,5,-1.195121951,-0.054006969
31,1,1,30,2,1,5
31,2,9,30,3,1,-1
31,3,4,30,4,-0.314285714,0.342857143
31,4,4,30,5,1.162790698,-0.051495017
32,1,1,31,1,0,0
32,2,9,31,2,-1,1
32,3,4,31,3,0.314285714,-0.342857143
32,4,4,31,4,-1.162790698,0.051495017
33,1,1,32,1,-1,2
33,2,9,32,2,0,0
33,3,4,32,3,0,0
33,4,4,32,4,0,0
34,1,1,33,1,0,2
34,2,9,33,2,1,-1
34,3,4,33,3,0,0
34,4,4,33,4,0,0
35,1,1,34,1,1,2
35,2,9,34,2,0,0
35,3,4,34,3,0,0
35,4,4,34,4,0,0
36,1,1,35,1,0,1
36,2,9,35,2,-1,1
36,3,4,35,3,0,0
36,4,4,35,4,0,0
37,1,1,36,1,0,2
37,2,9,36,2,0,0
37,3,4,36,3,0,0
37,4,4,36,4,0,0
38,1,1,37,1,-1,1
38,2,9,37,2,0,0
38,3,4,37,4,0,-2.714285714
39,1,1,38,1,1,3
39,2,9,38,2,1,0
39,3,4,38,3,0,-2.5
39,4,4,38,3,0,2.714285714
40,1,10,0,0,0,0
40,2,9,39,2,-1,0
40,3,4,39,3,0,0
40,4,1,39,1,-1,4
40,5,4,39,4,0,0
41,1,10,40,1,-1,4
41,2,9,40,2,1,-1
41,3,4,40,3,0,0
41,4,1,40,4,0,2
41,5,4,40,5,0,0
42,1,10,41,1,1,5
42,2,9,41,2,0,0
42,3,4,41,3,0,0
42,4,4,41,5,0,0
42,5,1,41,4,1,4
43,1,10,42,1,0,4
43,2,9,42,2,0,0
43,3,4,42,3,-0.314285714,0.342857143
43,4,4,42,4,1.162790698,-0.051495017
44,1,10,43,1,-1,4
44,2,9,43,2,0,1
44,3,4,43,3,0,0
44,4,4,43,4,0,0
45,1,9,44,2,-1,-1
45,2,4,44,3,0.314285714,-0.436607143
45,3,4,44,4,-1.162790698,-0.056407719
46,1,11,0,0,0,0
46,2,9,45,1,0,1
46,3,4,45,2,0,0.09375
46,4,4,45,3,0,0.107902736
47,1,11,46,1,-1,4
47,2,9,46,2,0,-1
47,3,4,46,3,0,0
47,4,4,46,4,0,0
48,1,11,47,1,0,5
48,2,9,47,2,1,1
48,3,4,47,3,-0.314285714,0.342857143
48,4,4,47,4,1.162790698,-0.051495017
49,1,11,48,1,0,3
49,2,9,48,2,0,-1
49,3,4,48,3,0.314285714,-0.342857143
49,4,4,48,4,-1.162790698,0.051495017
50,1,11,49,1,1,5
50,2,9,49,2,-1,0
50,3,4,49,3,0,0
50,4,4,49,4,0,0
