Trajectory	Frame	x	y	z	m0	m1	m2	m3	m4	NPscore
1	0	64.504	4.413	0	11.746	1.663	3.4	7.696	18.783	0.333
1	1	64.638	6.528	0	10.934	1.639	3.302	7.369	17.752	0.333
1	2	64.522	10.52	0	10.444	1.63	3.273	7.276	17.459	0.333
1	3	64.093	13.027	0	14.807	1.767	3.837	9.277	24.26	0.333
1	4	62.885	16.847	0	14.428	1.806	3.989	9.8	26.008	0.333
1	5	60.031	19.994	0	14.954	1.779	3.909	9.612	25.697	0.333
1	6	60.142	20.007	0	14.659	1.778	3.886	9.454	24.873	0.333
1	7	58.069	22.073	0	14.164	1.771	3.856	9.344	24.496	0.333
1	8	58.025	22.998	0	15.31	1.787	3.923	9.584	25.308	0.333
1	9	62.032	25.995	0	13.826	1.783	3.931	9.693	25.956	0.25
1	10	63.027	30.027	0	13.886	1.786	3.929	9.645	25.676	0.25
1	11	63.09	34.013	0	15.525	1.804	4.006	9.928	26.677	0.252
1	12	63.042	37.092	0	14.123	1.768	3.858	9.407	24.926	0.25
1	13	63.104	39.053	0	15.205	1.782	3.898	9.484	24.961	0.25
1	14	63.046	41.173	0	15.616	1.783	3.904	9.527	25.178	0.25
1	15	64.536	46.881	0	19.476	1.831	4.094	10.165	27.23	0.25
1	16	64.06	52.089	0	15.24	1.778	3.877	9.397	24.616	0.201
1	17	64.162	55.992	0	16.172	1.763	3.831	9.31	24.603	0.261
1	18	62.088	57.962	0	15.439	1.808	4.005	9.872	26.321	0.25
1	19	59.918	62.929	0	13.484	1.755	3.791	9.124	23.779	0.2
1	20	59.911	68.057	0	15.189	1.793	3.987	9.973	27.272	0.2
1	21	60.124	72.931	0	15.765	1.796	3.94	9.596	25.215	0.26
1	22	59.878	77.098	0	15.291	1.774	3.865	9.365	24.54	0.25
1	23	60.003	79	0	16.177	1.843	4.188	10.659	29.508	0.2
1	24	59.966	80.077	0	14.801	1.76	3.817	9.24	24.261	0.2
1	25	60.044	80.008	0	15.731	1.785	3.934	9.7	26.008	0.2
